Realmidstring	Name
0fbe0d60-6720-11eb-b892-3f7f0e814ab6	Marmite
a31066e0-6404-11eb-9b60-b3e6409a969e	Camomile
a44b6680-60a4-11eb-9bc4-db1ba4b155cb	Ibuprofen
45b86460-6004-11eb-9bc4-db1ba4b155cb	Vitamin b9
fe2dded0-5ce4-11eb-85e0-ebc12eb689ba	Allicin
eab4c520-58c1-11eb-b640-e5b5e399a5d2	Garlic capsule
e1822fb0-58c1-11eb-b640-e5b5e399a5d2	Oregano capsule
ce4fc9c0-58c1-11eb-b640-e5b5e399a5d2	L-glutamine
98855880-4617-11eb-a3dd-35d33c678d89	Pita
31569ae0-2e9b-11eb-b9a3-7b592f6f0d78	Iberogast
d20d2e70-206f-11eb-8d28-294843dd4e9b	Cloves
cc54a490-206f-11eb-8d28-294843dd4e9b	Vanilla
bec4f690-206f-11eb-8d28-294843dd4e9b	Liquorice
ac4edbc0-206f-11eb-8d28-294843dd4e9b	Cardamom
d2b758b0-1baf-11eb-b29b-03a641219168	Turmeric
1800edf0-1516-11eb-a17b-b1ec5287b94c	Probiotic
b58d0760-07ac-11eb-89d6-b90cc2a27c9a	Fructose
f2464de0-06f5-11eb-834b-a9ec869c91cc	Vitamins
67d3f620-03f4-11eb-a5df-31a9f2e205f9	White chocolate
c6871030-03e0-11eb-bcd2-c9974c2d9e65	Protein powder
1e33c8f0-0233-11eb-98bb-37a0c4cd06d5	Lactose solution
bfdc4650-002b-11eb-8968-8d06a7310fc2	Ketjap manis
ec5fe4d0-f9d1-11ea-bee8-530aa16f519f	Ketjsp manis sauce
cb25d9f0-f56c-11ea-9fa8-8d1d530a24bb	Teriyaki sauce
b95c30e0-f13c-11ea-9ae2-292c70d1dbca	Cinnamon
36c7c480-f12f-11ea-9ae2-292c70d1dbca	Sardines
