Realmidstring	Trackingdatapoint	Timestamplastmodified	Fooditems	Customfooditems	Image	Orderingnumber	Name	Isfavourite	Recipe
d1332943-1c29-11eb-93b7-9b447ba43314	d1332942-1c29-11eb-93b7-9b447ba43314	2020-11-01 10:05:49.396000+00:00		1800edf0-1516-11eb-a17b-b1ec5287b94c		0	Perenterol tablet	FALSE	
99844210-1bbe-11eb-b29b-03a641219168	99841b02-1bbe-11eb-b29b-03a641219168	2020-10-31 21:18:19.825000+00:00	Erdnussbutter ★ Kartoffelchips			0	Chips & peanut butter	FALSE	
bfcb2383-1baf-11eb-b29b-03a641219168	bfcb2382-1baf-11eb-b29b-03a641219168	2020-10-31 19:32:01.592000+00:00		d2b758b0-1baf-11eb-b29b-03a641219168		0	Turmeric tea	FALSE	
dc3f5693-1bae-11eb-b29b-03a641219168	dc3f5692-1bae-11eb-b29b-03a641219168	2020-10-31 19:25:39.833000+00:00	Hühnchen ★ Kartoffeln			0	Chicken legs baked potato & carrot	FALSE	
27d47f42-1baa-11eb-b29b-03a641219168	27d47f41-1baa-11eb-b29b-03a641219168	2020-10-31 18:51:59.156000+00:00	Knoblauch ★ Oregano			0	Oregano & garlic tablets	FALSE	
ffd61353-1b77-11eb-a4ee-3513b9e0eadc	ffd61352-1b77-11eb-a4ee-3513b9e0eadc	2020-10-31 12:52:57.221000+00:00	Erdbeermarmelade ★ Feigen ★ Haferflocken ★ Mandeln ★ Reismilch ★ Zimt			0	Porridge w/ strawberry jam	FALSE	
b5b5f6b3-1b35-11eb-9d59-77abb0c54761	b5b5f6b2-1b35-11eb-9d59-77abb0c54761	2020-10-31 04:58:26.075000+00:00	Knoblauch ★ Oregano			0	Oregano & garlic tablets	FALSE	
5f16e883-1ae2-11eb-9492-7bd40e0bf926	5f16e882-1ae2-11eb-9492-7bd40e0bf926	2020-10-30 19:01:52.520000+00:00	Kartoffelchips			0	Chips	FALSE	
22c2cb83-1ae0-11eb-9492-7bd40e0bf926	22c2cb82-1ae0-11eb-9492-7bd40e0bf926	2020-10-30 18:45:52.312000+00:00	Aubergine ★ Ingwer ★ Knoblauch-Öl ★ Möhre ★ Reis ★ Thunfisch	bfdc4650-002b-11eb-8968-8d06a7310fc2		0	Fried rice 2 tablespoons of ketjap sauce	FALSE	
1bc3def3-1ae0-11eb-9492-7bd40e0bf926	1bc3def2-1ae0-11eb-9492-7bd40e0bf926	2020-10-30 18:45:40.575000+00:00		1800edf0-1516-11eb-a17b-b1ec5287b94c		0	Perenterol tablet	FALSE	
3c3150c3-1ac0-11eb-9492-7bd40e0bf926	3c3150c2-1ac0-11eb-9492-7bd40e0bf926	2020-10-30 14:57:31.084000+00:00	Knoblauch ★ Oregano			0	Oregano & garlic tablets	FALSE	
38d09990-1ac0-11eb-9492-7bd40e0bf926		2020-10-30 14:57:25.417000+00:00	Knoblauch ★ Oregano			0	Oregano & garlic tablets	TRUE	
975b3452-1abd-11eb-9492-7bd40e0bf926	975b3451-1abd-11eb-9492-7bd40e0bf926	2020-10-30 14:38:35.541000+00:00	Erdbeermarmelade ★ Feigen ★ Haferflocken ★ Mandelmilch ★ Mandeln ★ Reismilch ★ Zimt			0	Porridge w/ strawberry jam	FALSE	
287c6243-1a9d-11eb-9492-7bd40e0bf926	287c6242-1a9d-11eb-9492-7bd40e0bf926	2020-10-30 10:46:25.636000+00:00	Kartoffelchips			0	Chips	FALSE	
3c729f53-1a9b-11eb-9492-7bd40e0bf926	3c729f52-1a9b-11eb-9492-7bd40e0bf926	2020-10-30 10:32:40.133000+00:00		1800edf0-1516-11eb-a17b-b1ec5287b94c		0	Perenterol tablet	FALSE	
3132d4c3-1a9b-11eb-9492-7bd40e0bf926	3132d4c2-1a9b-11eb-9492-7bd40e0bf926	2020-10-30 10:32:21.260000+00:00	Ei ★ Speck			0	Bacon and eggs	FALSE	
0e49e343-1a19-11eb-ad4d-ab63688b83fc	0e49e342-1a19-11eb-ad4d-ab63688b83fc	2020-10-29 19:00:48.116000+00:00	Kartoffelchips			0	Chips	FALSE	
b6ffeb42-1a16-11eb-ad4d-ab63688b83fc	b6ffeb41-1a16-11eb-ad4d-ab63688b83fc	2020-10-29 18:44:02.676000+00:00	Aubergine ★ Ingwer ★ Knoblauch-Öl ★ Möhre ★ Reis ★ Thunfisch	bfdc4650-002b-11eb-8968-8d06a7310fc2		0	Fried rice 2 tablespoons of ketjap sauce	FALSE	
bf510c43-1a14-11eb-ad4d-ab63688b83fc	bf510c42-1a14-11eb-ad4d-ab63688b83fc	2020-10-29 18:29:57.636000+00:00		1800edf0-1516-11eb-a17b-b1ec5287b94c		0	Perenterol tablet	FALSE	
b44e4ab3-1a14-11eb-ad4d-ab63688b83fc	b44e4ab2-1a14-11eb-ad4d-ab63688b83fc	2020-10-29 18:29:39.163000+00:00		1800edf0-1516-11eb-a17b-b1ec5287b94c		0	Perenterol tablet	FALSE	
a1e6b2d0-19e8-11eb-ad4d-ab63688b83fc		2020-10-29 13:14:10.429000+00:00	Hart- und Schnittkäse ★ Kapern ★ Oliven ★ Pasta  (aus Weizen)			0	Pasta w/ olives & capers	TRUE	
8bec5342-19e8-11eb-ad4d-ab63688b83fc	8bec5341-19e8-11eb-ad4d-ab63688b83fc	2020-10-29 13:13:33.556000+00:00	Hart- und Schnittkäse ★ Kapern ★ Oliven ★ Pasta  (aus Weizen)			0	Pasta w/ olives & capers	FALSE	
fe952dd3-19d5-11eb-ad4d-ab63688b83fc	fe952dd2-19d5-11eb-ad4d-ab63688b83fc	2020-10-29 11:00:45.485000+00:00	Knoblauch ★ Oregano			0	Oregano & garlic tablets	FALSE	
47619dc3-19ca-11eb-a9ce-47a3eae10682	47619dc2-19ca-11eb-a9ce-47a3eae10682	2020-10-29 09:36:53.660000+00:00	Feigen ★ Haferflocken ★ Mandelmilch ★ Mandeln ★ Reismilch ★ Zimt			0	Porridge	FALSE	
c106d2a2-1950-11eb-a9ce-47a3eae10682	c106d2a1-1950-11eb-a9ce-47a3eae10682	2020-10-28 19:06:59.146000+00:00	Lachs ★ Reis			0	Salmon & rice	FALSE	
4e5af633-1934-11eb-a9ce-47a3eae10682	4e5af632-1934-11eb-a9ce-47a3eae10682	2020-10-28 15:43:20.851000+00:00	Erdnussbutter ★ Kartoffelchips			0	Chips & peanut butter	FALSE	
18a41d93-190d-11eb-b6c5-250682658008	18a41d92-190d-11eb-b6c5-250682658008	2020-10-28 11:02:40.361000+00:00	Feigen ★ Haferflocken ★ Mandelmilch ★ Mandeln ★ Reismilch ★ Zimt			0	Porridge	FALSE	
9fde7423-1892-11eb-99b3-7995570974bf	9fde7422-1892-11eb-99b3-7995570974bf	2020-10-27 20:25:59.138000+00:00	Aubergine ★ Ingwer ★ Knoblauch-Öl ★ Möhre ★ Reis ★ Thunfisch	bfdc4650-002b-11eb-8968-8d06a7310fc2		0	Fried rice 2 tablespoons of ketjap sauce	FALSE	
59c9d202-186e-11eb-99b3-7995570974bf	59c9d201-186e-11eb-99b3-7995570974bf	2020-10-27 16:06:19.680000+00:00	Erdnussbutter ★ Kartoffelchips			0	Chips & peanut butter	FALSE	
6f213113-183d-11eb-99b3-7995570974bf	6f213112-183d-11eb-99b3-7995570974bf	2020-10-27 10:16:10.145000+00:00				0	Turmeric tea	FALSE	
